Code postal;Localité;Sous-commune;Commune principale;Province
6890;Transinne;Oui;LIBIN;Luxembourg
7390;Wasmuel;Oui;QUAREGNON;Hainaut
1300;Limal;Oui;WAVRE;Brabant Wallon
2431;Veerle;Oui;LAAKDAL;Anvers
4500;Ben-Ahin;Oui;HUY;Liège
6850;Carlsbourg;Oui;PALISEUL;Luxembourg
7950;Grosage;Oui;CHIÈVRES;Hainaut
6250;Aiseau;Oui;AISEAU-PRESLES;Hainaut
3890;Kortijs;Oui;GINGELOM;Limbourg
2390;MALLE;Non;MALLE;Anvers
5570;Winenne;Oui;BEAURAING;Namur
8952;Wulvergem;Oui;HEUVELLAND;Flandre-Occidentale
1653;Dworp;Oui;BEERSEL;Brabant Flamand
7321;Harchies;Oui;BERNISSART;Hainaut
9850;Vosselare;Oui;DEINZE;Flandre-Orientale
1970;WEZEMBEEK-OPPEM;Non;WEZEMBEEK-OPPEM;Brabant Flamand
5660;Pesche;Oui;COUVIN;Namur
4051;Vaux-Sous-Chèvremont;Oui;CHAUDFONTAINE;Liège
3200;AARSCHOT;Non;AARSCHOT;Brabant Flamand
5530;Evrehailles;Oui;YVOIR;Namur
5022;Cognelée;Oui;NAMUR;Namur
7090;Hennuyères;Oui;BRAINE-LE-COMTE;Hainaut
2275;Wechelderzande;Oui;LILLE;Anvers
7120;ESTINNES;Non;ESTINNES;Hainaut
3800;Gelinden;Oui;SINT-TRUIDEN;Limbourg
3730;Sint-Huibrechts-Hern;Oui;HOESELT;Limbourg
1370;Jodoigne-Souveraine;Oui;JODOIGNE;Brabant Wallon
7743;Obigies;Oui;PECQ;Hainaut
1471;Loupoigne;Oui;GENAPPE;Brabant Wallon
8920;Poelkapelle;Oui;LANGEMARK-POELKAPELLE;Flandre-Occidentale
6043;Ransart;Oui;CHARLEROI;Hainaut
1671;Elingen;Oui;PEPINGEN;Brabant Flamand
4710;LONTZEN;Non;LONTZEN;Liège
6830;Rochehaut;Oui;BOUILLON;Luxembourg
7972;Aubechies;Oui;BELOEIL;Hainaut
3870;Klein-Gelmen;Oui;HEERS;Limbourg
1933;Sterrebeek;Oui;ZAVENTEM;Brabant Flamand
5310;EGHEZÉE;Non;EGHEZÉE;Namur
5651;Gourdinne;Oui;WALCOURT;Namur
8647;Pollinkhove;Oui;LO-RENINGE;Flandre-Occidentale
7370;Wihéries;Oui;DOUR;Hainaut
4607;Feneur;Oui;DALHEM;Liège
4347;FEXHE-LE-HAUT-CLOCHER;Non;FEXHE-LE-HAUT-CLOCHER;Liège
4181;Filot;Oui;HAMOIR;Liège
5680;Soulme;Oui;DOISCHE;Namur
3740;Eigenbilzen;Oui;BILZEN;Limbourg
7080;Eugies;Oui;FRAMERIES;Hainaut
3723;Guigoven;Oui;KORTESSEM;Limbourg
2812;Muizen;Oui;MECHELEN;Anvers
1745;Mazenzele;Oui;OPWIJK;Brabant Flamand
6531;Biesme-Sous-Thuin;Oui;THUIN;Hainaut
3700;Koninksem;Oui;TONGEREN;Limbourg
9690;Berchem;Oui;KLUISBERGEN;Flandre-Orientale
8582;Outrijve;Oui;AVELGEM;Flandre-Occidentale
8755;RUISELEDE;Non;RUISELEDE;Flandre-Occidentale
3471;Hoeleden;Oui;KORTENAKEN;Brabant Flamand
5021;Boninne;Oui;NAMUR;Namur
4280;Merdorp;Oui;HANNUT;Liège
1320;Hamme-Mille;Oui;BEAUVECHAIN;Brabant Wallon
5580;Ave-Et-Auffe;Oui;ROCHEFORT;Namur
6941;Villers-Sainte-Gertrude;Oui;DURBUY;Luxembourg
7812;Moulbaix;Oui;ATH;Hainaut
6767;Harnoncourt;Oui;ROUVROY;Luxembourg
4347;Freloux;Oui;FEXHE-LE-HAUT-CLOCHER;Liège
6940;Grandhan;Oui;DURBUY;Luxembourg
8340;Hoeke;Oui;DAMME;Flandre-Occidentale
3960;Opitter;Oui;BREE;Limbourg
6810;CHINY;Non;CHINY;Luxembourg
8900;IEPER;Non;IEPER;Flandre-Occidentale
9790;Petegem-Aan-De-Schelde;Oui;WORTEGEM-PETEGEM;Flandre-Orientale
7134;Péronnes-Lez-Binche;Oui;BINCHE;Hainaut
9080;Zeveneken;Oui;LOCHRISTI;Flandre-Orientale
9170;De Klinge;Oui;SINT-GILLIS-WAAS;Flandre-Orientale
6982;Samrée;Oui;LA ROCHE-EN-ARDENNE;Luxembourg
6230;Viesville;Oui;PONT-À-CELLES;Hainaut
9130;Verrebroek;Oui;BEVEREN-WAAS;Flandre-Orientale
5589;Jemelle;;;
6042;Lodelinsart;Oui;CHARLEROI;Hainaut
7942;Mévergnies-Lez-Lens;Oui;BRUGELETTE;Hainaut
4800;Ensival;Oui;VERVIERS;Liège
3770;Kanne;Oui;RIEMST;Limbourg
2890;Lippelo;Oui;PUURS-SINT-AMANDS;Anvers
6780;MESSANCY;Non;MESSANCY;Luxembourg
6810;Jamoigne;Oui;CHINY;Luxembourg
7160;CHAPELLE-LEZ-HERLAIMONT;Non;CHAPELLE-LEZ-HERLAIMONT;Hainaut
6464;Rièzes;Oui;CHIMAY;Hainaut
3401;Wezeren;Oui;LANDEN;Brabant Flamand
7131;Waudrez;Oui;BINCHE;Hainaut
6567;MERBES-LE-CHÂTEAU;Non;MERBES-LE-CHÂTEAU;Hainaut
3294;Molenstede;Oui;DIEST;Brabant Flamand
3400;Neerwinden;Oui;LANDEN;Brabant Flamand
8570;ANZEGEM;Non;ANZEGEM;Flandre-Occidentale
9280;LEBBEKE;Non;LEBBEKE;Flandre-Orientale
1367;Mont-Saint-André;Oui;RAMILLIES;Brabant Wallon
4171;Poulseur;Oui;COMBLAIN-AU-PONT;Liège
5350;OHEY;Non;OHEY;Namur
3830;WELLEN;Non;WELLEN;Limbourg
2960;Sint-Lenaarts;Oui;BRECHT;Anvers
5002;Saint-Servais;Oui;NAMUR;Namur
9790;Elsegem;Oui;WORTEGEM-PETEGEM;Flandre-Orientale
4053;Embourg;Oui;CHAUDFONTAINE;Liège
5650;Fraire;Oui;WALCOURT;Namur
5032;Bothey;Oui;GEMBLOUX;Namur
7110;Houdeng-Goegnies;Oui;LA LOUVIÈRE;Hainaut
3803;Runkelen;Oui;SINT-TRUIDEN;Limbourg
8433;Slijpe;Oui;MIDDELKERKE;Flandre-Occidentale
6970;TENNEVILLE;Non;TENNEVILLE;Luxembourg
4530;Vaux-Et-Borset;Oui;VILLERS-LE-BOUILLET;Liège
5680;Vodelée;Oui;DOISCHE;Namur
3460;Assent;Oui;BEKKEVOORT;Brabant Flamand
3700;Nerem;Oui;TONGEREN;Limbourg
5550;Chairière;Oui;VRESSE-SUR-SEMOIS;Namur
3700;TONGEREN;Non;TONGEREN;Limbourg
2430;LAAKDAL;Non;LAAKDAL;Anvers
5361;Mohiville;Oui;HAMOIS;Namur
7812;Villers-Notre-Dame;Oui;ATH;Hainaut
9800;Vinkt;Oui;DEINZE;Flandre-Orientale
8980;Zandvoorde;Oui;ZONNEBEKE;Flandre-Occidentale
6743;Buzenol;Oui;ETALLE;Luxembourg
4537;Chapon-Seraing;Oui;VERLAINE;Liège
6927;Bure;Oui;TELLIN;Luxembourg
6441;Erpion;Oui;FROIDCHAPELLE;Hainaut
7070;Mignault;Oui;LE ROEULX;Hainaut
6470;SIVRY-RANCE;Non;SIVRY-RANCE;Hainaut
9982;Sint-Jan-In-Eremo;Oui;SINT-LAUREINS;Flandre-Orientale
2830;Tisselt;Oui;WILLEBROEK;Anvers
4607;Bombaye;Oui;DALHEM;Liège
3850;NIEUWERKERKEN;Non;NIEUWERKERKEN;Limbourg
8800;Oekene;Oui;ROESELARE;Flandre-Occidentale
6250;Pont-De-Loup;Oui;AISEAU-PRESLES;Hainaut
7024;Ciply;Oui;MONS;Hainaut
5150;Floriffoux;Oui;FLOREFFE;Namur
4400;Awirs;Oui;FLÉMALLE;Liège
7641;Bruyelle;Oui;ANTOING;Hainaut
6929;DAVERDISSE;Non;DAVERDISSE;Luxembourg
2480;DESSEL;Non;DESSEL;Anvers
8600;Driekapellen;Oui;DIKSMUIDE;Flandre-Occidentale
7784;Warneton;Oui;COMINES-WARNETON;Hainaut
8908;Vlamertinge;Oui;IEPER;Flandre-Occidentale
6860;Witry;Oui;LÉGLISE;Luxembourg
9140;Steendorp;Oui;TEMSE;Flandre-Orientale
1910;Berg;Oui;KAMPENHOUT;Brabant Flamand
2275;Poederlee;Oui;LILLE;Anvers
1350;Folx-Les-Caves;Oui;ORP-JAUCHE;Brabant Wallon
5640;Biesme;Oui;METTET;Namur
8690;Oeren;Oui;ALVERINGEM;Flandre-Occidentale
2470;RETIE;Non;RETIE;Anvers
8433;Schore;Oui;MIDDELKERKE;Flandre-Occidentale
4861;Soiron;Oui;PEPINSTER;Liège
3118;Werchter;Oui;ROTSELAAR;Brabant Flamand
8600;Pervijze;Oui;DIKSMUIDE;Flandre-Occidentale
1033;RTL-TVI;;;
5140;SOMBREFFE;Non;SOMBREFFE;Namur
4670;Trembleur;Oui;BLÉGNY;Liège
3891;Buvingen;Oui;GINGELOM;Limbourg
6596;Forge-Philippe;Oui;MOMIGNIES;Hainaut
6836;Dohan;Oui;BOUILLON;Luxembourg
7012;Flénu;Oui;MONS;Hainaut
3300;Kumtich;Oui;TIENEN;Brabant Flamand
3210;LUBBEEK;Non;LUBBEEK;Brabant Flamand
2350;VOSSELAAR;Non;VOSSELAAR;Anvers
4721;Neu-Moresnet;Oui;LA CALAMINE;Liège
2243;Pulle;Oui;ZANDHOVEN;Anvers
6470;Grandrieu;Oui;SIVRY-RANCE;Hainaut
7522;Marquain;Oui;TOURNAI;Hainaut
8310;Assebroek;Oui;BRUGGE;Flandre-Occidentale
7170;Bellecourt;Oui;MANAGE;Hainaut
9500;Ophasselt;Oui;GERAARDSBERGEN;Flandre-Orientale
9570;Sint-Maria-Lierde;Oui;LIERDE;Flandre-Orientale
1760;Strijtem;Oui;ROOSDAAL;Brabant Flamand
6210;Frasnes-Lez-Gosselies;Oui;LES BONS VILLERS;Hainaut
8970;Reningelst;Oui;POPERINGE;Flandre-Occidentale
4577;Vierset-Barse;Oui;MODAVE;Liège
4052;Beaufays;Oui;CHAUDFONTAINE;Liège
4860;PEPINSTER;Non;PEPINSTER;Liège
7750;Anseroeul;Oui;MONT-DE-L'ENCLUS;Hainaut
9660;Everbeek;Oui;BRAKEL;Flandre-Orientale
3650;Lanklaar;Oui;DILSEN-STOKKEM;Limbourg
1480;Oisquercq;Oui;TUBIZE;Brabant Wallon
4357;DONCEEL;Non;DONCEEL;Liège
9570;LIERDE;Non;LIERDE;Flandre-Orientale
3910;Neerpelt;Oui;PELT;Limbourg
8211;Aartrijke;Oui;ZEDELGEM;Flandre-Occidentale
4100;Boncelles;Oui;SERAING;Liège
4560;CLAVIER;Non;CLAVIER;Liège
3800;Ordingen;Oui;SINT-TRUIDEN;Limbourg
5100;Wierde;Oui;NAMUR;Namur
7387;Angreau;Oui;HONNELLES;Hainaut
5575;Louette-Saint-Pierre;Oui;GEDINNE;Namur
4684;Haccourt;Oui;OUPEYE;Liège
7904;Willaupuis;Oui;LEUZE-EN-HAINAUT;Hainaut
8510;Rollegem;Oui;KORTRIJK;Flandre-Occidentale
5377;Sinsin;Oui;SOMME-LEUZE;Namur
1325;Corroy-Le-Grand;Oui;CHAUMONT-GISTOUX;Brabant Wallon
9400;Denderwindeke;Oui;NINOVE;Flandre-Orientale
4690;BASSENGE;Non;BASSENGE;Liège
6464;Bourlers;Oui;CHIMAY;Hainaut
9000;GENT;Non;GENT;Flandre-Orientale
1428;Lillois-Witterzée;Oui;BRAINE-L'ALLEUD;Brabant Wallon
3770;Millen;Oui;RIEMST;Limbourg
4470;SAINT-GEORGES-SUR-MEUSE;Non;SAINT-GEORGES-SUR-MEUSE;Liège
4610;Bellaire;Oui;BEYNE-HEUSAY;Liège
4430;ANS;Non;ANS;Liège
5377;Hogne;Oui;SOMME-LEUZE;Namur
5555;Naomé;Oui;BIÈVRE;Namur
6542;Sars-La-Buissière;Oui;LOBBES;Hainaut
9506;Smeerebbe-Vloerzegem;Oui;GERAARDSBERGEN;Flandre-Orientale
7520;Templeuve;Oui;TOURNAI;Hainaut
2650;EDEGEM;Non;EDEGEM;Anvers
6760;Ethe;Oui;VIRTON;Luxembourg
9620;Oombergen;Oui;ZOTTEGEM;Flandre-Orientale
5651;Rognée;Oui;WALCOURT;Namur
3910;Sint-Huibrechts-Lille;Oui;PELT;Limbourg
5680;Matagne-La-Grande;Oui;DOISCHE;Namur
1380;Plancenoit;Oui;LASNE;Brabant Wallon
5300;Bonneville;Oui;ANDENNE;Namur
4782;Schoenberg;Oui;SAINT-VITH;Liège
9940;Kluizen;Oui;EVERGEM;Flandre-Orientale
9681;Nukerke;Oui;MAARKEDAL;Flandre-Orientale
4690;Wonck;Oui;BASSENGE;Liège
8980;Beselare;Oui;ZONNEBEKE;Flandre-Occidentale
1325;CHAUMONT-GISTOUX;Non;CHAUMONT-GISTOUX;Brabant Wallon
7910;Anvaing;Oui;FRASNES-LEZ-ANVAING;Hainaut
5555;Monceau-En-Ardenne;Oui;BIÈVRE;Namur
6460;Robechies;Oui;CHIMAY;Hainaut
5070;Sart-Eustache;Oui;FOSSES-LA-VILLE;Namur
6640;Vaux-Lez-Rosières;Oui;VAUX-SUR-SÛRE;Luxembourg
5377;Bonsin;Oui;SOMME-LEUZE;Namur
4784;Crombach;Oui;SAINT-VITH;Liège
9660;Elst;Oui;BRAKEL;Flandre-Orientale
9200;Grembergen;Oui;DENDERMONDE;Flandre-Orientale
9831;Deurle;Oui;SINT-MARTENS-LATEM;Flandre-Orientale
8930;Lauwe;Oui;MENEN;Flandre-Occidentale
4650;Grand-Rechain;Oui;HERVE;Liège
9280;Denderbelle;Oui;LEBBEKE;Flandre-Orientale
2260;Zoerle-Parwijs;Oui;WESTERLO;Anvers
4219;Ambresin;Oui;WASSEIGES;Liège
6840;Grapfontaine;Oui;NEUFCHÂTEAU;Luxembourg
3300;Vissenaken;Oui;TIENEN;Brabant Flamand
9500;Nederboelare;Oui;GERAARDSBERGEN;Flandre-Orientale
7850;Petit-Enghien;Oui;ENGHIEN;Hainaut
4130;Tilff;Oui;ESNEUX;Liège
1332;Genval;Oui;RIXENSART;Brabant Wallon
1370;Jauchelette;Oui;JODOIGNE;Brabant Wallon
4210;Lamontzée;Oui;BURDINNE;Liège
6280;Gougnies;Oui;GERPINNES;Hainaut
5670;Oignies-En-Thiérache;Oui;VIROINVAL;Namur
7390;QUAREGNON;Non;QUAREGNON;Hainaut
9630;Roborst;Oui;ZWALM;Flandre-Orientale
8550;ZWEVEGEM;Non;ZWEVEGEM;Flandre-Occidentale
1430;Bierghes;Oui;REBECQ;Brabant Wallon
9060;ZELZATE;Non;ZELZATE;Flandre-Orientale
3941;Eksel;Oui;HECHTEL-EKSEL;Limbourg
7890;ELLEZELLES;Non;ELLEZELLES;Hainaut
8890;MOORSLEDE;Non;MOORSLEDE;Flandre-Occidentale
7022;Mesvin;Oui;MONS;Hainaut
7510;3 Suisses;;;
9100;SINT-NIKLAAS;Non;SINT-NIKLAAS;Flandre-Orientale
6700;Toernich;Oui;ARLON;Luxembourg
9473;Welle;Oui;DENDERLEEUW;Flandre-Orientale
9690;Ruien;Oui;KLUISBERGEN;Flandre-Orientale
9550;Steenhuize-Wijnhuize;Oui;HERZELE;Flandre-Orientale
1800;VILVOORDE;Non;VILVOORDE;Brabant Flamand
7620;Guignies;Oui;BRUNEHAUT;Hainaut
7012;Jemappes;Oui;MONS;Hainaut
4990;LIERNEUX;Non;LIERNEUX;Liège
4287;Racour;Oui;LINCENT;Liège
5651;Tarcienne;Oui;WALCOURT;Namur
4190;Werbomont;Oui;FERRIÈRES;Liège
6997;Mormont;Oui;EREZÉE;Luxembourg
4680;OUPEYE;Non;OUPEYE;Liège
1931;Brucargo;;;
1450;Chastre-Villeroux-Blanmont;Oui;CHASTRE;Brabant Wallon
7504;Froidmont;Oui;TOURNAI;Hainaut
1007;Assemblée de la Commission Communautaire Française;;;
7500;Ere;Oui;TOURNAI;Hainaut
6600;Longvilly;Oui;BASTOGNE;Luxembourg
7973;Grandglise;Oui;BELOEIL;Hainaut
9120;Kallo;Oui;BEVEREN-WAAS;Flandre-Orientale
8650;Klerken;Oui;HOUTHULST;Flandre-Occidentale
9401;Pollare;Oui;NINOVE;Flandre-Orientale
4031;Angleur;Oui;LIÈGE;Liège
5370;Barvaux-Condroz;Oui;HAVELANGE;Namur
9550;Sint-Antelinks;Oui;HERZELE;Flandre-Orientale
4837;BAELEN;Non;BAELEN;Liège
4720;LA CALAMINE;Non;LA CALAMINE;Liège
5670;Le Mesnil;Oui;VIROINVAL;Namur
9506;Waarbeke;Oui;GERAARDSBERGEN;Flandre-Orientale
8420;DE HAAN;Non;DE HAAN;Flandre-Occidentale
7903;Chapelle-À-Wattines;Oui;LEUZE-EN-HAINAUT;Hainaut
6673;Cherain;Oui;GOUVY;Luxembourg
8900;Sint-Jan;Oui;IEPER;Flandre-Occidentale
6671;Bovigny;Oui;GOUVY;Luxembourg
4250;Hollogne-Sur-Geer;Oui;GEER;Liège
3891;Muizen;Oui;GINGELOM;Limbourg
8800;Beveren;Oui;ROESELARE;Flandre-Occidentale
3320;HOEGAARDEN;Non;HOEGAARDEN;Brabant Flamand
3020;HERENT;Non;HERENT;Brabant Flamand
4520;Huccorgne;Oui;WANZE;Liège
1342;Limelette;Oui;OTTIGNIES-LOUVAIN-LA-NEUVE;Brabant Wallon
6688;Longchamps;Oui;BERTOGNE;Luxembourg
9870;ZULTE;Non;ZULTE;Flandre-Orientale
6111;Landelies;Oui;MONTIGNY-LE-TILLEUL;Hainaut
5310;Noville-Sur-Mehaigne;Oui;EGHEZÉE;Namur
1110;OTAN;;;
9120;Vrasene;Oui;BEVEREN-WAAS;Flandre-Orientale
6929;Gembes;Oui;DAVERDISSE;Luxembourg
6811;Les Bulles;Oui;CHINY;Luxembourg
8540;DEERLIJK;Non;DEERLIJK;Flandre-Occidentale
6720;Habay-La-Neuve;Oui;HABAY;Luxembourg
8531;Bavikhove;Oui;HARELBEKE;Flandre-Occidentale
7120;Rouveroy;Oui;ESTINNES;Hainaut
8954;Westouter;Oui;HEUVELLAND;Flandre-Occidentale
9850;Nevele;Oui;DEINZE;Flandre-Orientale
1390;Bossut-Gottechain;Oui;GREZ-DOICEAU;Brabant Wallon
8800;ROESELARE;Non;ROESELARE;Flandre-Occidentale
6461;Virelles;Oui;CHIMAY;Hainaut
3945;Oostham;Oui;HAM;Limbourg
3360;Opvelp;Oui;BIERBEEK;Brabant Flamand
7760;Pottes;Oui;CELLES;Hainaut
4351;Hodeige;Oui;REMICOURT;Liège
1315;INCOURT;Non;INCOURT;Brabant Wallon
5031;Grand-Leez;Oui;GEMBLOUX;Namur
7034;Obourg;Oui;MONS;Hainaut
4590;Warzée;Oui;OUFFET;Liège
6567;Fontaine-Valmont;Oui;MERBES-LE-CHÂTEAU;Hainaut
3545;HALEN;Non;HALEN;Limbourg
4870;TROOZ;Non;TROOZ;Liège
1006;Raad van de Vlaamse Gemeenschapscommissie;;;
2610;Wilrijk;Oui;ANTWERPEN;Anvers
7950;CHIÈVRES;Non;CHIÈVRES;Hainaut
1367;Gérompont;Oui;RAMILLIES;Brabant Wallon
6110;MONTIGNY-LE-TILLEUL;Non;MONTIGNY-LE-TILLEUL;Hainaut
8552;Moen;Oui;ZWEVEGEM;Flandre-Occidentale
1105;ACTISOC;;;
5190;Balâtre;Oui;JEMEPPE-SUR-SAMBRE;Namur
7850;ENGHIEN;Non;ENGHIEN;Hainaut
8490;JABBEKE;Non;JABBEKE;Flandre-Occidentale
7972;Quevaucamps;Oui;BELOEIL;Hainaut
4987;Rahier;Oui;STOUMONT;Liège
8600;Keiem;Oui;DIKSMUIDE;Flandre-Occidentale
7812;Ligne;Oui;ATH;Hainaut
4770;Meyerode;Oui;AMBLÈVE;Liège
7134;Ressaix;Oui;BINCHE;Hainaut
9400;Voorde;Oui;NINOVE;Flandre-Orientale
3130;BEGIJNENDIJK;Non;BEGIJNENDIJK;Brabant Flamand
9800;Grammene;Oui;DEINZE;Flandre-Orientale
7910;Forest;Oui;FRASNES-LEZ-ANVAING;Hainaut
2230;HERSELT;Non;HERSELT;Anvers
7543;Mourcourt;Oui;TOURNAI;Hainaut
5580;Villers-Sur-Lesse;Oui;ROCHEFORT;Namur
8400;Zandvoorde;Oui;OOSTENDE;Flandre-Occidentale
8940;Geluwe;Oui;WERVIK;Flandre-Occidentale
7620;Jollain-Merlin;Oui;BRUNEHAUT;Hainaut
3668;Niel-Bij-As;Oui;AS;Limbourg
9630;Paulatem;Oui;ZWALM;Flandre-Orientale
8700;TIELT;Non;TIELT;Flandre-Occidentale
3390;TIELT-WINGE;Non;TIELT-WINGE;Brabant Flamand
3800;Zepperen;Oui;SINT-TRUIDEN;Limbourg
5190;JEMEPPE-SUR-SAMBRE;Non;JEMEPPE-SUR-SAMBRE;Namur
3840;Kerniel;Oui;BORGLOON;Limbourg
1670;PEPINGEN;Non;PEPINGEN;Brabant Flamand
3630;Vucht;Oui;MAASMECHELEN;Limbourg
7640;Maubray;Oui;ANTOING;Hainaut
2380;RAVELS;Non;RAVELS;Anvers
5600;Romedenne;Oui;PHILIPPEVILLE;Namur
5580;Lessive;Oui;ROCHEFORT;Namur
1350;Enines;Oui;ORP-JAUCHE;Brabant Wallon
1212;SPF Mobilité;;;
1473;Glabais;Oui;GENAPPE;Brabant Wallon
7810;Maffle;Oui;ATH;Hainaut
7903;Blicquy;Oui;LEUZE-EN-HAINAUT;Hainaut
6838;Corbion;Oui;BOUILLON;Luxembourg
4210;BURDINNE;Non;BURDINNE;Liège
2400;MOL;Non;MOL;Anvers
9420;Erondegem;Oui;ERPE-MERE;Flandre-Orientale
3732;Schalkhoven;Oui;HOESELT;Limbourg
6500;Thirimont;Oui;BEAUMONT;Hainaut
6238;Luttre;Oui;PONT-À-CELLES;Hainaut
5190;Moustier-Sur-Sambre;Oui;JEMEPPE-SUR-SAMBRE;Namur
9040;Sint-Amandsberg;Oui;GENT;Flandre-Orientale
4550;Yernée-Fraineux;Oui;NANDRIN;Liège
3803;Gorsem;Oui;SINT-TRUIDEN;Limbourg
8470;Snaaskerke;Oui;GISTEL;Flandre-Occidentale
5363;Emptinne;Oui;HAMOIS;Namur
2980;Halle;Oui;ZOERSEL;Anvers
2300;TURNHOUT;Non;TURNHOUT;Anvers
5030;Ernage;Oui;GEMBLOUX;Namur
6987;Hodister;Oui;RENDEUX;Luxembourg
7120;Vellereille-Le-Sec;Oui;ESTINNES;Hainaut
8940;WERVIK;Non;WERVIK;Flandre-Occidentale
1367;Autre-Eglise;Oui;RAMILLIES;Brabant Wallon
5020;Champion;Oui;NAMUR;Namur
2260;WESTERLO;Non;WESTERLO;Anvers
9400;Appelterre-Eichem;Oui;NINOVE;Flandre-Orientale
6464;L'Escaillère;Oui;CHIMAY;Hainaut
8431;Wilskerke;Oui;MIDDELKERKE;Flandre-Occidentale
6210;Rèves;Oui;LES BONS VILLERS;Hainaut
9881;Bellem;Oui;AALTER;Flandre-Orientale
8600;DIKSMUIDE;Non;DIKSMUIDE;Flandre-Occidentale
2540;HOVE;Non;HOVE;Anvers
9472;Iddergem;Oui;DENDERLEEUW;Flandre-Orientale
3040;Neerijse;Oui;HULDENBERG;Brabant Flamand
6810;Izel;Oui;CHINY;Luxembourg
3078;Meerbeek;Oui;KORTENBERG;Brabant Flamand
6997;EREZÉE;Non;EREZÉE;Luxembourg
3746;Hoelbeek;Oui;BILZEN;Limbourg
7063;Chaussée-Notre-Dame-Louvignies;Oui;SOIGNIES;Hainaut
2030;ANTWERPEN;Non;ANTWERPEN;Anvers
1430;Rebecq-Rognon;Oui;REBECQ;Brabant Wallon
9340;Smetlede;Oui;LEDE;Flandre-Orientale
3721;Vliermaalroot;Oui;KORTESSEM;Limbourg
6890;Villance;Oui;LIBIN;Luxembourg
1044;RTBF;;;
4300;WAREMME;Non;WAREMME;Liège
7500;TOURNAI;Non;TOURNAI;Hainaut
3960;Tongerlo;Oui;BREE;Limbourg
7382;Audregnies;Oui;QUIÉVRAIN;Hainaut
4480;ENGIS;Non;ENGIS;Liège
7181;Feluy;Oui;SENEFFE;Hainaut
5300;Sclayn;Oui;ANDENNE;Namur
3401;Walshoutem;Oui;LANDEN;Brabant Flamand
2160;WOMMELGEM;Non;WOMMELGEM;Anvers
5573;Martouzin-Neuville;Oui;BEAURAING;Namur
7540;Kain;Oui;TOURNAI;Hainaut
4701;Kettenis;Oui;EUPEN;Liège
6500;Solre-Saint-Géry;Oui;BEAUMONT;Hainaut
5575;Rienne;Oui;GEDINNE;Namur
7070;Thieu;Oui;LE ROEULX;Hainaut
1357;Neerheylissem;Oui;HÉLÉCINE;Brabant Wallon
9100;Nieuwkerken-Waas;Oui;SINT-NIKLAAS;Flandre-Orientale
3990;PEER;Non;PEER;Limbourg
6670;GOUVY;Non;GOUVY;Luxembourg
5522;Falaën;Oui;ONHAYE;Namur
9690;KLUISBERGEN;Non;KLUISBERGEN;Flandre-Orientale
4101;Jemeppe-Sur-Meuse;Oui;SERAING;Liège
2590;Gestel;Oui;BERLAAR;Anvers
5340;GESVES;Non;GESVES;Namur
2870;Liezele;Oui;PUURS-SINT-AMANDS;Anvers
5600;Roly;Oui;PHILIPPEVILLE;Namur
3018;Wijgmaal;Oui;LEUVEN;Brabant Flamand
5544;Agimont;Oui;HASTIÈRE;Namur
9700;Mullem;Oui;OUDENAARDE;Flandre-Orientale
6750;MUSSON;Non;MUSSON;Luxembourg
3640;Ophoven;Oui;KINROOI;Limbourg
5190;Spy;Oui;JEMEPPE-SUR-SAMBRE;Namur
4950;WAIMES;Non;WAIMES;Liège
3570;ALKEN;Non;ALKEN;Limbourg
6041;Gosselies;Oui;CHARLEROI;Hainaut
5575;Bourseigne-Neuve;Oui;GEDINNE;Namur
5370;Porcheresse;Oui;HAVELANGE;Namur
7090;Steenkerque;Oui;BRAINE-LE-COMTE;Hainaut
7181;Familleureux;Oui;SENEFFE;Hainaut
5576;Froidfontaine;Oui;BEAURAING;Namur
4140;Gomzé-Andoumont;Oui;SPRIMONT;Liège
9790;Moregem;Oui;WORTEGEM-PETEGEM;Flandre-Orientale
2990;WUUSTWEZEL;Non;WUUSTWEZEL;Anvers
7062;Naast;Oui;SOIGNIES;Hainaut
4219;WASSEIGES;Non;WASSEIGES;Liège
3350;Wommersom;Oui;LINTER;Brabant Flamand
9630;Munkzwalm;Oui;ZWALM;Flandre-Orientale
1755;Oetingen;Oui;GOOIK;Brabant Flamand
3110;ROTSELAAR;Non;ROTSELAAR;Brabant Flamand
8870;Emelgem;Oui;IZEGEM;Flandre-Occidentale
6460;Villers-La-Tour;Oui;CHIMAY;Hainaut
9500;Viane;Oui;GERAARDSBERGEN;Flandre-Orientale
6706;Autelbas;Oui;ARLON;Luxembourg
5380;Cortil-Wodon;Oui;FERNELMONT;Namur
6142;Leernes;Oui;FONTAINE-L'EVÊQUE;Hainaut
6790;AUBANGE;Non;AUBANGE;Luxembourg
7950;Huissignies;Oui;CHIÈVRES;Hainaut
9260;Schellebelle;Oui;WICHELEN;Flandre-Orientale
7060;SOIGNIES;Non;SOIGNIES;Hainaut
5650;Vogenée;Oui;WALCOURT;Namur
9230;WETTEREN;Non;WETTEREN;Flandre-Orientale
9220;HAMME;Non;HAMME;Flandre-Orientale
8434;Lombardsijde;Oui;MIDDELKERKE;Flandre-Occidentale
4877;OLNE;Non;OLNE;Liège
9406;Outer;Oui;NINOVE;Flandre-Orientale
4800;Polleur;Oui;VERVIERS;Liège
1674;Bellingen;Oui;PEPINGEN;Brabant Flamand
5620;Corenne;Oui;FLORENNES;Namur
